checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
1,0.029411764705882346,5,8,0.0505667436997909,4,4,1.0,4,2,1.0,4,0.8571428571428572,3,3,0.3333333333333333,3,0.0,2,1,1
2,0.6470588235294117,3,8,0.3136898866512601,1,3,0.3333333333333333,2,2,0.3333333333333333,4,0.0535714285714286,3,3,0.0,3,0.0,1,1,0
4,0.1176470588235294,5,1,0.10157367668097282,1,5,0.3333333333333333,4,2,0.6666666666666667,4,0.5357142857142858,3,3,0.0,4,1.0,1,1,1
1,0.5588235294117647,3,7,0.4199405744470122,1,5,0.3333333333333333,4,3,1.0,3,0.46428571428571425,3,1,0.0,3,1.0,1,1,1
1,0.2941176470588235,4,3,0.25420931000330144,1,3,0.6666666666666667,4,2,1.0,1,0.6071428571428572,3,1,0.3333333333333333,3,1.0,1,1,0
4,0.47058823529411764,3,1,0.4844833278309673,4,3,0.3333333333333333,4,2,1.0,1,0.28571428571428575,3,1,0.0,4,1.0,2,1,1
4,0.2941176470588235,3,7,0.14223616154946628,3,4,0.6666666666666667,4,2,1.0,3,0.6071428571428572,3,3,0.0,3,0.0,1,1,1
2,0.47058823529411764,3,9,0.3685484758446132,1,3,0.3333333333333333,4,2,0.3333333333333333,2,0.28571428571428575,3,2,0.0,1,0.0,2,1,1
4,0.1176470588235294,3,8,0.15456146142841423,5,5,0.3333333333333333,1,2,1.0,4,0.75,3,3,0.0,4,0.0,1,1,1
2,0.38235294117647056,5,3,0.27423792230659183,1,2,1.0,3,2,0.3333333333333333,2,0.16071428571428575,3,3,0.3333333333333333,1,0.0,1,1,0
2,0.1176470588235294,3,3,0.05749972488169913,1,1,0.6666666666666667,2,2,0.0,2,0.10714285714285715,3,2,0.0,3,0.0,1,1,0
1,0.6470588235294117,3,5,0.22328601298558381,1,1,0.6666666666666667,2,2,1.0,3,0.0892857142857143,3,2,0.0,3,0.0,1,1,0
2,0.1176470588235294,3,8,0.07246616044899307,1,3,0.0,2,2,0.0,2,0.0535714285714286,3,3,0.0,3,0.0,2,1,1
1,0.2941176470588235,5,3,0.052217453505007144,1,4,1.0,4,2,1.0,2,0.7321428571428572,3,3,0.3333333333333333,4,0.0,1,1,0
1,0.16176470588235292,3,3,0.06344228018047761,1,3,0.3333333333333333,2,2,1.0,2,0.16071428571428575,3,2,0.0,3,0.0,1,1,1
1,0.2941176470588235,3,8,0.056784417299438755,2,3,1.0,2,2,0.3333333333333333,2,0.23214285714285715,3,3,0.0,4,0.0,1,1,0
4,0.2941176470588235,5,8,0.11962143721800374,4,4,1.0,4,2,1.0,3,0.6071428571428572,3,3,0.3333333333333333,3,0.0,1,1,1
1,0.38235294117647056,1,5,0.43039506988004844,4,1,0.3333333333333333,4,2,0.6666666666666667,2,0.10714285714285715,1,3,0.6666666666666667,3,0.0,1,1,1
2,0.2941176470588235,3,9,0.6783867062837019,1,4,1.0,2,2,0.3333333333333333,1,0.44642857142857145,3,1,0.0,1,0.0,2,1,0
4,0.2941176470588235,3,8,0.17497523935292178,3,4,0.6666666666666667,4,2,0.3333333333333333,2,0.21428571428571425,3,3,0.0,3,1.0,2,1,1
4,0.07352941176470588,5,3,0.10366457576758006,1,3,1.0,4,2,1.0,2,0.5178571428571428,3,3,0.6666666666666667,3,0.0,2,1,1
1,0.029411764705882346,3,8,0.13189171343677783,3,3,0.3333333333333333,4,2,0.6666666666666667,4,0.44642857142857145,3,2,0.0,3,1.0,1,1,1
1,0.08823529411764706,5,3,0.10955210740618465,1,1,0.0,4,2,0.6666666666666667,4,0.5178571428571428,3,2,0.3333333333333333,4,1.0,1,2,1
2,0.1176470588235294,5,9,0.08550676791020138,2,1,0.6666666666666667,4,2,1.0,3,0.44642857142857145,3,3,0.0,3,0.0,1,1,1
4,0.08823529411764706,5,7,0.10008803785627819,4,3,0.3333333333333333,3,2,0.0,2,0.125,3,3,0.3333333333333333,3,0.0,1,2,1
1,0.029411764705882346,3,7,0.06184659403543523,1,3,0.0,4,2,0.3333333333333333,4,0.30357142857142855,1,3,0.0,4,0.0,2,1,1
4,0.029411764705882346,1,8,0.00968416419060196,1,4,1.0,3,2,1.0,2,0.35714285714285715,3,3,0.0,4,0.0,1,1,1
3,0.1176470588235294,2,8,0.008748761967646089,5,3,0.6666666666666667,2,2,0.6666666666666667,4,0.41071428571428575,3,2,0.3333333333333333,3,0.0,1,1,1
2,0.044117647058823525,3,8,0.11912622427643886,1,3,0.6666666666666667,4,3,0.3333333333333333,4,0.26785714285714285,3,3,0.0,3,0.0,1,1,1
1,0.8235294117647058,4,5,0.36238582590513924,1,4,0.6666666666666667,4,2,1.0,1,0.7857142857142858,3,3,0.3333333333333333,3,0.0,2,1,0
2,0.20588235294117646,3,5,0.09150434686915374,5,1,0.6666666666666667,3,2,0.6666666666666667,4,0.30357142857142855,1,3,0.0,3,0.0,2,1,1
1,0.2941176470588235,3,7,0.20743919885550788,1,3,0.3333333333333333,4,2,0.3333333333333333,2,0.14285714285714285,2,3,0.0,3,0.0,1,1,1
2,0.20588235294117646,3,3,0.3090128755364807,2,3,0.3333333333333333,4,2,0.3333333333333333,2,0.19642857142857145,3,3,0.3333333333333333,3,0.0,2,1,1
4,0.1176470588235294,5,5,0.055793991416309016,4,4,1.0,4,2,1.0,1,0.6785714285714286,3,2,0.0,4,0.0,1,1,1
3,0.1176470588235294,3,7,0.06734896005282272,1,1,1.0,2,2,0.0,3,0.25000000000000006,1,3,0.0,1,0.0,2,1,1
2,0.6029411764705882,5,8,0.24738637614174097,1,1,1.0,4,2,0.3333333333333333,3,0.10714285714285715,3,3,0.3333333333333333,4,0.0,1,1,0
4,0.6470588235294117,5,1,0.32243864861890614,1,3,0.0,4,2,0.6666666666666667,1,0.21428571428571425,1,1,0.0,3,0.0,2,1,1
3,0.20588235294117646,3,8,0.10179377132166832,1,3,1.0,4,1,0.3333333333333333,4,0.32142857142857145,2,3,0.0,3,0.0,1,1,0
3,0.08823529411764706,3,6,0.0536480686695279,1,3,0.3333333333333333,4,2,0.3333333333333333,2,0.32142857142857145,3,3,0.0,3,0.0,2,1,1
2,0.07352941176470588,3,8,0.011444921316165951,1,3,1.0,4,2,0.6666666666666667,4,0.0892857142857143,3,3,0.0,3,0.0,1,1,1
4,0.38235294117647056,3,8,0.11461428414218112,3,4,1.0,4,2,0.3333333333333333,2,0.19642857142857145,1,3,0.0,1,0.0,1,1,1
2,0.1176470588235294,3,8,0.04996148343787829,3,3,0.6666666666666667,1,2,0.0,2,0.125,3,3,0.0,3,0.0,2,1,1
2,0.20588235294117646,4,4,0.32761087267525035,1,3,0.3333333333333333,4,2,1.0,4,0.44642857142857145,3,3,0.0,4,1.0,2,1,1
1,0.38235294117647056,5,9,0.3266754704522945,2,5,0.0,3,2,1.0,2,0.0892857142857143,3,2,0.3333333333333333,3,0.0,1,1,1
1,0.6470588235294117,5,9,0.324254429404644,1,4,1.0,2,2,1.0,1,0.6964285714285714,2,1,0.3333333333333333,4,0.0,1,1,0
4,0.10294117647058824,5,3,0.06289204357873886,1,1,1.0,2,2,1.0,2,0.28571428571428575,3,3,0.3333333333333333,1,0.0,1,1,1
4,0.47058823529411764,3,8,0.1127434796962694,3,4,1.0,4,2,1.0,2,0.35714285714285715,3,3,0.0,3,0.0,1,1,1
1,0.029411764705882346,3,9,0.06063607351160999,3,2,0.0,2,2,0.3333333333333333,3,0.07142857142857145,3,2,0.0,2,0.0,2,1,1
4,0.10294117647058824,5,3,0.38395510069329813,1,3,0.0,4,2,1.0,3,0.35714285714285715,3,3,0.3333333333333333,4,0.0,1,1,1
4,0.1176470588235294,3,8,0.10030813249697369,2,3,1.0,2,1,0.3333333333333333,4,0.16071428571428575,3,3,0.0,3,0.0,1,1,1
2,0.2941176470588235,4,7,0.11461428414218112,4,1,1.0,4,2,0.3333333333333333,3,0.17857142857142855,1,3,0.0,4,0.0,1,1,1
2,0.338235294117647,4,9,0.3144602178936943,1,4,0.0,4,2,0.3333333333333333,2,0.19642857142857145,3,3,0.3333333333333333,1,0.0,2,1,1
4,0.1176470588235294,3,8,0.055683944095961266,1,3,0.6666666666666667,4,2,0.3333333333333333,2,0.10714285714285715,3,3,0.0,3,0.0,1,1,1
4,0.20588235294117646,3,9,0.17211400902388027,4,3,0.3333333333333333,4,2,0.0,3,0.21428571428571425,3,3,0.0,3,0.0,2,1,1
2,0.47058823529411764,4,3,0.10867172884340266,1,4,1.0,4,2,1.0,1,0.6785714285714286,1,1,0.3333333333333333,3,0.0,2,1,0
4,0.029411764705882346,2,3,0.029327610872675252,4,3,0.0,4,3,0.3333333333333333,4,0.125,2,3,0.0,4,1.0,1,1,1
2,0.1176470588235294,3,8,0.3421371189611533,4,2,0.3333333333333333,4,2,0.0,1,0.5892857142857142,3,3,0.0,1,0.0,2,1,0
4,0.47058823529411764,5,8,0.5126004181798173,1,3,0.3333333333333333,2,2,0.3333333333333333,2,0.21428571428571425,2,3,0.3333333333333333,3,0.0,1,1,1
3,0.20588235294117646,3,3,0.09414548255749973,1,4,0.6666666666666667,2,2,0.3333333333333333,2,0.07142857142857145,3,3,0.0,1,0.0,1,1,1
1,0.47058823529411764,5,7,0.32898646417959726,1,1,1.0,2,1,1.0,1,0.07142857142857145,3,2,0.3333333333333333,4,0.0,2,1,0
2,0.07352941176470588,3,5,0.0627819962583911,1,3,0.3333333333333333,3,2,0.0,4,0.14285714285714285,1,3,0.0,3,0.0,2,1,1
2,0.16176470588235292,5,8,0.07081545064377683,4,4,1.0,4,3,1.0,4,0.5535714285714286,3,3,0.3333333333333333,3,0.0,2,1,1
2,0.47058823529411764,1,5,0.09370529327610873,1,4,1.0,4,2,1.0,1,0.75,3,1,0.0,1,0.0,2,1,0
2,0.6470588235294117,1,5,0.7797402883239792,1,3,0.3333333333333333,4,2,0.3333333333333333,2,0.10714285714285715,3,3,0.0,3,0.0,2,1,0
4,0.2941176470588235,3,8,0.16127434796962695,1,1,1.0,2,2,1.0,3,0.125,3,3,0.0,3,0.0,2,1,1
4,0.338235294117647,3,4,0.2718168812589414,4,4,1.0,4,2,1.0,3,0.5178571428571428,3,3,1.0,3,1.0,2,1,1
4,0.1176470588235294,3,8,0.10570045119401342,1,1,0.3333333333333333,2,2,0.3333333333333333,2,0.17857142857142855,1,3,0.0,3,0.0,1,1,1
2,0.1176470588235294,3,3,0.041652910751623196,5,3,1.0,3,2,0.0,4,0.0535714285714286,3,3,0.0,3,0.0,1,1,1
4,0.47058823529411764,3,1,0.08633212281280951,1,3,1.0,4,2,1.0,1,0.32142857142857145,2,1,0.0,3,0.0,2,1,0
4,0.47058823529411764,3,8,0.11797072741278751,4,3,1.0,2,2,1.0,2,0.10714285714285715,3,3,0.0,3,0.0,1,1,1
4,0.47058823529411764,3,9,0.4337515131506548,1,3,0.0,2,2,0.3333333333333333,3,0.19642857142857145,1,3,0.0,3,0.0,1,1,1
4,0.044117647058823525,5,8,0.02641135688345989,4,4,1.0,4,2,0.3333333333333333,3,0.48214285714285715,3,2,0.3333333333333333,4,0.0,2,1,1
1,0.058823529411764705,5,2,0.05029162539892153,1,4,0.6666666666666667,4,2,1.0,1,0.5714285714285714,1,1,0.3333333333333333,1,1.0,2,1,1
2,0.5588235294117647,5,5,0.3138549576317817,1,5,0.3333333333333333,2,2,0.0,4,0.39285714285714285,1,3,0.3333333333333333,4,0.0,1,1,1
1,0.47058823529411764,3,1,0.09502586112028172,4,4,1.0,4,2,1.0,1,0.37499999999999994,3,3,0.0,1,0.0,2,1,0
1,0.1176470588235294,5,9,0.0702101903818642,1,4,1.0,4,2,1.0,1,0.8392857142857144,3,1,0.3333333333333333,1,0.0,1,1,1
